,j,c
0,1,720
1,2,258840
2,3,61949040
3,4,11104365420
4,5,1590145128144
5,6,189492294437160
6,7,19328214032590320
7,8,1722627075654612270
8,9,136278941985120437360
9,10,9689432775142063096296
10,11,625408842759169527124560
11,12,36951239126354266227609420
12,13,2012421330881447729934420720
13,14,101627277209513110361688246360
14,15,4783257180661083727690126795344
15,16,210762269522879001751346211919845
16,17,8728037514359224543114572540680640
17,18,340878354033029714100530249783249440
18,19,12594558133220361015714328176202163520
19,20,441439262569373653600787202575885831376
20,21,14714642085645788453359573419196194379200
21,22,467524309903018460404470082728097266866400
22,23,14188346448361168928796526858443995316206400
23,24,412053228104488947640465800847311030641494200
24,25,11471561870428972302310567895589139093059198528
25,26,306643673074928298080994026439786602679851652960
26,27,7881878115333342180304068679600440824437668413120
27,28,195076483354500218962525699820110910404832293224720
28,29,4654928499355660397312682216397129310349791272810560
29,30,107218519768492044484768780384347211781723525650403232
30,31,2386476730330951957886788982748373423528684925767039680
31,32,51383827099938309343249925284800915275351997307921573110
32,33,1071274940750228994792604502907364536649762852965152796960
33,34,21646055420453156453603508632275277549364325881972352103280
34,35,424262686240881866490628769192595439967540787286658101224288
35,36,8072776113194557737391130747136885454937928869204466648295480
36,37,149237266525002094388527930568692693275068739095563653714435360
37,38,2682343500962537643878015173116239723865051284270262512814719760
38,39,46906622247601299310892470463212192094255512201854334198452278880
39,40,798585243765412120767944309636187570404700095236570039728650047932
40,41,13244828433182444929809808062258720679882830847826039683304439819360
41,42,214124726336449526365258563673182650991439098706520974880088443746320
42,43,3376199173397971601759193166753903194702225788907470255086045694418720
43,44,51947428190691517599794858497554374154850155888417212788483021252760760
44,45,780365810153499242165807207652150153970637897346000796555878274819250528
45,46,11451020040295912792650431851417420737612621319751098645113431206586828400
46,47,164212500152328621749923214209688118662785250415154052910775587941266432800
47,48,2302396095885774217452048399231668830417801531862472450186499389259839776550
48,49,31575717886433474982199520903748601102872706722685336459700563052706374078400
49,50,423746134035937234261117570528306226800551724218437215289181556167319540132128
50,51,5566860976550547979508799455960101410909208926006920279289247894747139056637760
51,52,71619807563698396120988208385332843151889630221127493593163593107419923632512720
52,53,902679838727368464317360815120798853310608924296474824910061890485971867670160320
53,54,11149767637613977142586660438621719169595854676032383485463171869521171032148091360
54,55,135013549939107432308413015493128453944560712986137589114881317547292725589284160832
55,56,1603285905526900758662404558980900390591658466710383870739215645874101116372749409880
56,57,18676874408243194802663800476549436128997565296415699827558582260708827039850975581760
57,58,213495995390779968175277581309522002646989410198682913546057586876723315990020634667360
58,59,2395497439808412524271758624184806199191643890703865911313391906989675172633790849996480
59,60,26390396795222677975727207509769281627761276862587589456302534175336254818515595864127888
60,61,285535440735196187934097655023733211054466274250947689199338894356097183282299889677449280
61,62,3034965410395069158847908946139357840078923785989911728747811796462387802952187537055468960
62,63,31698527619681833436855937881899959663046537320339078055810478763051605941945069831468231360
63,64,325405197595796321375224237318879273415962109679105848166679446051951642247779857488666062555
64,65,3284089378812959797263801533556689282474940676146052867651411024770465804839132100193306723632
65,66,32592099138219525260724090976964113333652820346600979216843548806434168214691386751918422787560
66,67,318137803528292082395724708939321345077745440398164782206204192826984268841912939339621619448720
67,68,3055058613293746026535415219667306446114231949705905923244872616412069522849546314540778198529620
68,69,28868090085036556656537546713378026128499699003018125535589231100009700418810205754791121528134960
69,70,268473237790839976905799184434415642995047200728068567480979849230090213894934913519557430211655128
70,71,2457853585409098380123513660315072787982826485538655899473759183092375197629685827995948304754589200
71,72,22154819124034789565280005077006697769456310959924828871645412636485437545300918088463478469246227650
72,73,196661956059925255319197853286306029515173828794949165874331882033459774374725957826360740384541856400
73,74,1719463318523941083669202852381621636436722530139623112441793617238492892168212090725072959848629474200
74,75,14810310716886212534004067235180367695174970059602620408498649023147552111208866808111961760829528537776
75,76,125692768584100093216218728509096541623524416953206449519495113420133830417496303832002833364934814564020
76,77,1051248609976109870535647547530625620851295123608635759617595494059301127128150904776750969961272994535440
77,78,8666062259162033932748991962335798387274138006158369146591203880514495189017961945787831713911519685721640
78,79,70425467979519313731960162529361804615569577214603455596348770775826657105690273027794784307989818205484720
79,80,564284062185898501277330802266511459482251237432010187965744525841311090059343312635205709267768418371446319
80,81,4458540738258951121203601400624288074921491258722055806149092549857272810345428643043600665819404787132415360
81,82,34743994289603289834745137743889269266766255052724312928405733406814601534277181742742205188519508036312358720
82,83,267068293455022878488763829886763298701167117152266405401480215825876093721311348817705143497294531652617889920
83,84,2025267892033923495206459043307955015150517305071353574294558303346227044053277728534264004854483531699018998560
84,85,15153769168630298152368328841692463407479164776769186744133400952096475294328054533503434201028841484242071565696
85,86,111891202582328364264580102493892026322665925968005041657264065169549555952305984055519543228526910959229249351360
86,87,815391062496507849928089482541695915960576977743852832306958819741315154870827515990797590883747833886797058491520
87,88,5865256165457834875050916391464699031852786669452941396026192419275596511741293382070169034425140668753892477558320
88,89,41649908950217434168900889431524604361022035675216392834702849539125584218207836151329739660187515760140000514796160
89,90,292012139417635566228627347014355837242276716789572709763305533990980484907657162349878508061981360496092670275959744
90,91,2021622503660553920044343171637848103984992654697041836822884466091403357053011123960697363506024803434487717295105920
91,92,13821745160896613214216215814784852797897395432656949080017329664907529473764608662731289583100973927829269284550235040
92,93,93333935064979280629331005717041801689027573459231871206998742253354069994883593980594084496638834695449259254812339840
93,94,622557205167468180367984474304097975095960516584450885604129908434606403050978866232260542333963291000496654816673798720
